OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
IRIDIUM 108,2017-003H,2025-01-01T02:52:30.041760,14.34222495,0.0002064,86.3965,279.0888,89.3225,270.8207,0,U,41924,999,41886,0.00027978,8.03e-06,0.0,7155.788371442277,Iridium Next
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat
PROPCUBE 1 (FLORA),2015-058N,2024-12-31T16:21:47.276352,14.84288629,0.0183224,64.7751,140.5899,247.6434,110.5169,0,U,40976,999,3707,0.0011653,0.00013088,0.0,6993.956622202023,CubeSat
SITRO-AIS 8 (ANOKHIN),2023-091AD,2025-01-01T02:58:21.462528,15.1575941,0.0015486,97.5843,58.396,158.1278,202.0618,0,U,57193,999,8341,0.0013444,0.00025724,0.0,6896.811018873239,CubeSat
IRIDIUM 142,2018-030H,2024-12-31T10:15:31.228128,14.3421913,0.0002147,86.3994,153.0804,105.5897,254.5536,0,U,43256,999,35377,0.00020827,6.03e-06,0.0,7155.7995641616935,Iridium Next
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.8868005,0.004603,97.6762,173.431,351.4054,8.637,0,U,40045,999,56715,0.001639,0.00015572,0.0,6980.195649660228,CubeSat
SONATE-2,2024-043Q,2024-12-31T14:08:32.929728,15.27610234,0.0012171,97.4962,129.7349,325.6266,34.4184,0,U,59112,999,4584,0.0010983,0.00029721,0.0,6861.095566060175,Amateur Radio
SITRO-AIS 12 (SMIRENNIY),2023-091AQ,2025-01-01T03:45:08.198496,15.18395368,0.0011404,97.5864,60.1755,137.167,223.0454,0,U,57204,999,8352,0.0014464,0.00029821,0.0,6888.826726741741,CubeSat
ORBCOMM FM41,2008-031B,2024-12-31T20:32:10.229280,14.79616902,0.0004872,48.4441,39.2025,12.4465,157.6446,0,U,33061,999,88944,0.00092608,6.814e-05,0.0,7008.67064987271,Orbcomm
IRIDIUM 168,2019-002C,2024-12-31T20:46:26.521536,14.34213179,0.0002082,86.3981,216.0814,84.6077,275.5356,0,U,43924,999,31267,0.0002626,7.55e-06,0.0,7155.81935858481,Iridium Next
KUZGTU 1 (RS47S),2023-091AV,2025-01-01T03:28:33.690432,15.15249977,0.001575,97.5851,58.4138,152.5417,207.665,0,U,57217,999,8341,0.0013017,0.00024546,0.0,6898.356755588705,Amateur Radio
HORYU-4,2016-012D,2024-12-31T15:57:39.132864,15.26864332,0.0007399,30.9996,119.4552,187.7533,172.2996,0,U,41340,999,48824,0.0013485,0.00036887,0.0,6863.329900486865,CubeSat
UKUBE-1,2014-037F,2024-12-31T06:38:43.953504,15.00452365,0.0003271,98.3678,309.3963,94.0291,266.1305,0,U,40074,999,56826,0.0015977,0.00020086,0.0,6943.63738979986,CubeSat
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,0.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,0.0011367,0.00012228,0.0,6964.503153209536,CubeSat
ORBCOMM-X,1991-050C,2024-12-31T17:31:16.036608,14.43008405,0.0003242,98.3671,70.5886,351.0626,9.0506,0,U,21576,999,75796,0.00040676,1.319e-05,0.0,7126.712964715515,Orbcomm
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat
POLYITAN-1,2014-033AJ,2024-12-31T16:32:37.009536,15.11381807,0.0010602,98.0912,340.5614,175.4266,184.7061,0,U,40042,999,57257,0.0017699,0.00029943,0.0,6910.121992372702,CubeSat
